from_lat,from_lon,target_name,startTime,duration,walkDistance
54.84013401,11.14683539,skole nr 1 ,1724314868000.0,3935.0,1482.03
54.84013401,11.14683539,nakskov skole,1724313600000.0,401.0,486.23
54.84013401,11.14683539,skole nr 1 ,1724314868000.0,3935.0,1482.03
54.84013401,11.14683539,nakskov skole,1724313600000.0,401.0,486.23
54.84035389,11.14699337,skole nr 1 ,1724314848000.0,3955.0,1508.4799999999998
54.84035389,11.14699337,nakskov skole,1724313600000.0,421.0,512.69
54.84024602,11.14691779,skole nr 1 ,1724314858000.0,3945.0,1495.55
54.84024602,11.14691779,nakskov skole,1724313600000.0,411.0,499.76
54.84024602,11.14691779,skole nr 1 ,1724314858000.0,3945.0,1495.55
54.84024602,11.14691779,nakskov skole,1724313600000.0,411.0,499.76
54.84035389,11.14699337,skole nr 1 ,1724314848000.0,3955.0,1508.4799999999998
54.84035389,11.14699337,nakskov skole,1724313600000.0,421.0,512.69
54.84024602,11.14691779,skole nr 1 ,1724314858000.0,3945.0,1495.55
54.84024602,11.14691779,nakskov skole,1724313600000.0,411.0,499.76
54.69690863,11.3904205,skole nr 1 ,1724313600000.0,564.0,692.11
54.69690863,11.3904205,nakskov skole,1724314151000.0,3674.0,1372.49
54.81616325,11.34226829,skole nr 1 ,1724313877000.0,4926.0,3441.2599999999998
54.81616325,11.34226829,nakskov skole,,,
54.83519798,11.32593214,skole nr 1 ,1724314716000.0,4087.0,2235.92
54.83519798,11.32593214,nakskov skole,1724313933000.0,3660.0,3124.04
54.83569632,11.32646481,skole nr 1 ,1724314774000.0,4029.0,2167.6600000000003
54.83569632,11.32646481,nakskov skole,1724313991000.0,3602.0,3055.77
54.83554533,11.32619255,skole nr 1 ,1724314755000.0,4048.0,2192.04
54.83554533,11.32619255,nakskov skole,1724313972000.0,3621.0,3080.15
54.83586471,11.32685366,skole nr 1 ,1724314798000.0,4005.0,2136.51
54.83586471,11.32685366,nakskov skole,1724314015000.0,3578.0,3024.63
54.83431806,11.32731086,skole nr 1 ,1724314608000.0,4195.0,2374.05
54.83431806,11.32731086,nakskov skole,1724313825000.0,3768.0,3262.1600000000003
54.83286361,11.32911483,skole nr 1 ,1724314376000.0,4427.0,2668.08
54.83286361,11.32911483,nakskov skole,,,
54.83320385,11.32742986,skole nr 1 ,1724314513000.0,4290.0,2498.59
54.83320385,11.32742986,nakskov skole,1724313730000.0,3863.0,3386.7000000000003
54.83282068,11.32912347,skole nr 1 ,1724314380000.0,4423.0,2663.28
54.83282068,11.32912347,nakskov skole,,,
54.83385719,11.32734304,skole nr 1 ,1724314569000.0,4234.0,2425.19
54.83385719,11.32734304,nakskov skole,1724313786000.0,3807.0,3313.3
54.83309112,11.32750326,skole nr 1 ,1724314502000.0,4301.0,2511.97
54.83309112,11.32750326,nakskov skole,1724313719000.0,3874.0,3400.08
54.83250607,11.32775891,skole nr 1 ,1724314448000.0,4355.0,2579.52
